date,repo,user,role,hash
2021-07-19 22:48:56+00:00,mne-python,alexrockhill,author,3a4a048c5fc5ee77875a705848eb4be8354732f7
2021-07-21 14:46:58+00:00,mne-python,alexrockhill,author,1df66682b6d460ac9b22d4c678034cc8706ff680
2021-07-21 19:08:22+00:00,mne-python,alexrockhill,author,fb074dd23f3a3364349415c4612d6401e1affece
2021-07-22 17:40:18+00:00,mne-python,alexrockhill,author,64d51d6b122c5520a13825a0a360623993075d66
2021-07-27 08:00:48+00:00,mne-bids,alexrockhill,author,e053e6408cf39630c6d5041669445b1fe9c7370a
2021-07-27 20:23:57+00:00,mne-python,alexrockhill,author,474da964415c5233e955663b56e85531093be0a4
2021-07-28 20:53:20+00:00,mne-python,alexrockhill,author,33d2aea4a3790953c38dcc28582d614c20419649
2021-07-29 12:34:06+00:00,mne-python,alexrockhill,author,b66734cf6f174b6806b52d4162830adb8d2a1825
2021-07-29 23:10:58+00:00,mne-python,alexrockhill,author,a7be363558c2126a88812e373408fa3e3cb69b26
2021-07-31 15:25:17+00:00,mne-python,alexrockhill,author,8d8609ade86b6daca5173faa7414885bde04df29
2021-08-04 21:35:18+00:00,mne-python,alexrockhill,author,759d1f9630c82109210da1eb41b45a7cd30a0f12
2021-08-14 10:40:14+00:00,mne-python,marsipu,author,6c896a649d0de38dd68e98d2836aabe6fc17a123
2021-08-17 18:29:00+00:00,mne-python,adam2392,author,702bdaccee9131798c68a82d81ad497c286aac4a
2021-08-17 18:29:00+00:00,mne-python,adam2392,co-author,702bdaccee9131798c68a82d81ad497c286aac4a
2021-08-17 18:29:00+00:00,mne-python,adam2392,co-author,702bdaccee9131798c68a82d81ad497c286aac4a
2021-08-18 15:46:46+00:00,mne-python,adam2392,author,9d75a529c6a30e9de47409c8e6e9730dd7026bcc
2021-08-18 17:58:49+00:00,mne-connectivity,adam2392,author,373797af6f5f75de2b78d8d8eb8df7aa9ee1c1e9
2021-08-19 21:09:00+00:00,mne-python,alexrockhill,author,6756eab3dc55dc9c8fc5d30c3e4a5f5ad18659bd
2021-08-19 21:10:31+00:00,mne-connectivity,adam2392,author,ae0eca5b9f96db9afdc2db71ba09984f2ec567b2
2021-08-20 20:25:22+00:00,mne-python,alexrockhill,author,cf307a48e130ca27868c3706100bf2c402c9de1f
2021-08-20 21:24:56+00:00,mne-hfo,adam2392,author,9ed39873f902671b9c32c1c5a781fc8ecc188c27
2021-08-21 09:47:42+00:00,mne-python,alexrockhill,author,041068d510cc746b0a994609a59213f279be0c81
2021-08-23 17:29:04+00:00,mne-connectivity,adam2392,committer,b5d6c905641c126606a3c4c32e6ce16eae135c71
2021-08-23 17:29:04+00:00,mne-connectivity,adam2392,author,b5d6c905641c126606a3c4c32e6ce16eae135c71
